"latitude"	"longitude"	"altitude_m"	"date"	"doy"	"year"	"day"	"month"	"n_samples"	"site2"	"avg_T2M_MAX"	"sd_T2M_MAX"	"avg_T2M_MIN"	"sd_T2M_MIN"	"avg_T2M"	"sd_T2M"	"NASA_ELEV"
9.11661	-79.70074	36.88087	2002-09-23	266	2002	23	9	3	"i3"	28.2061904761905	0.876151026620136	24.3883862433862	0.611889961693599	26.009417989418	0.554821337069958	92.24
9.11661	-79.70074	36.88087	2002-09-24	267	2002	24	9	4	"j3"	28.2157142857143	0.899206631073008	24.3958994708995	0.612058630406779	26.0182010582011	0.565669427415815	92.24
9.15289	-79.73932	63.70333	1994-03-31	90	1994	31	3	1	"k3"	31.5180158730159	0.834265845563415	24.6807936507936	0.680568029846176	27.3500529100529	0.563850909950482	92.24
9.15289	-79.73932	63.70333	2002-08-05	217	2002	5	8	2	"l3"	28.1433068783069	0.815025941235155	24.7322751322751	0.648185067446885	26.1674603174603	0.584391501309766	92.24
9.15289	-79.73932	63.70333	2002-08-12	224	2002	12	8	1	"m3"	28.1407142857143	0.818402576711034	24.7082275132275	0.630324560483491	26.1561375661376	0.578912272016359	92.24
9.15289	-79.73932	63.70333	2002-08-14	226	2002	14	8	2	"n3"	28.141746031746	0.820927610831546	24.6687830687831	0.633483150855762	26.1450264550265	0.579880738071035	92.24
9.15289	-79.73932	63.70333	2002-08-18	230	2002	18	8	1	"o3"	28.2139947089947	0.797718676918804	24.6803703703704	0.641708900818988	26.172380952381	0.572641645324398	92.24
9.15289	-79.73932	63.70333	2002-08-21	233	2002	21	8	1	"p3"	28.1998148148148	0.80291591771525	24.6691005291005	0.629805018414333	26.1603439153439	0.563270233732942	92.24
9.15289	-79.73932	63.70333	2002-08-23	235	2002	23	8	2	"q3"	28.221746031746	0.823690742516764	24.6611375661376	0.619008814202062	26.1664285714286	0.571002372795891	92.24
9.15289	-79.73932	63.70333	2002-08-26	238	2002	26	8	3	"r3"	28.250873015873	0.834959316826477	24.6677513227513	0.601868418483647	26.1812962962963	0.563542378860181	92.24
9.15289	-79.73932	63.70333	2002-09-16	259	2002	16	9	1	"s3"	28.1954497354497	0.841938796935428	24.4746031746032	0.634913454024484	26.0466931216931	0.562363726851958	92.24
9.15289	-79.73932	63.70333	2002-09-28	271	2002	28	9	1	"t3"	28.180291005291	0.929487277718973	24.4266137566138	0.612284207877428	26.0213756613757	0.581655655413945	92.24
